product,issue,sub_product,complaint_id,timely,company_response,submitted_via,company,date_received,state,sub_issue,Month_Year,count
Checking or savings account,Closing an account,Checking account,5016346,Yes,Closed with explanation,Web,JPMORGAN CHASE & CO.,16-12-21,KY,Company closed your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5016770,Yes,Closed with explanation,Phone,"CHARLES SCHWAB CORPORATION, THE",16-12-21,KS,Funds not received from closed account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5020353,Yes,Closed with explanation,Web,U.S. BANCORP,17-12-21,CT,Funds not received from closed account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5025517,Yes,Closed with explanation,Web,Chime Financial Inc,20-12-21,KS,Funds not received from closed account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5030253,Yes,Closed with explanation,Web,"CITIBANK, N.A.",21-12-21,RI,Funds not received from closed account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5030302,Yes,Closed with explanation,Referral,U.S. BANCORP,20-12-21,WA,Can't close your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5033746,Yes,Closed with explanation,Web,ALLIANT CREDIT UNION,22-12-21,MN,Funds not received from closed account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5033943,Yes,Closed with explanation,Web,JPMORGAN CHASE & CO.,22-12-21,OK,Fees charged for closing account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5033954,Yes,Closed with explanation,Web,PNC Bank N.A.,22-12-21,NE,Company closed your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5035909,Yes,Closed with explanation,Web,Chime Financial Inc,22-12-21,WA,Funds not received from closed account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5036293,Yes,Closed with non-monetary relief,Referral,WELLS FARGO & COMPANY,14-12-21,WV,Company closed your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5036717,Yes,Closed with explanation,Web,WELLS FARGO & COMPANY,23-12-21,DC,Funds not received from closed account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5037741,Yes,Closed with explanation,Web,WELLS FARGO & COMPANY,23-12-21,DC,Funds not received from closed account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5037880,Yes,Closed with explanation,Referral,"CITIZENS FINANCIAL GROUP, INC.",2/12/2021,DE,Company closed your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5038177,Yes,Closed with explanation,Referral,JPMORGAN CHASE & CO.,22-12-21,KS,Company closed your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5038669,Yes,Closed with explanation,Phone,U.S. BANCORP,23-12-21,IA,Company closed your account,31-12-21,1
